,Profile Name,Duration,Title,Country,Type,Hour,Day,Month,Year,Device Category,tconst,titleType,primaryTitle,genres,averageRating,numVotes
6714,Home,0.2788888888888889,An Astrological Guide For Broken Hearts,TH (Thailand),TV Show,11,17,9,2022,Set Top Boxes,,,,,,
7413,Home,0.6255555555555555,Midnight At The Pera Palace,TH (Thailand),TV Show,13,4,9,2022,Set Top Boxes,,,,,,
7414,Home,0.7127777777777777,As The Crow Flies,TH (Thailand),TV Show,8,4,9,2022,Set Top Boxes,,,,,,
7415,Home,0.1188888888888888,As The Crow Flies,TH (Thailand),TV Show,8,4,9,2022,Set Top Boxes,,,,,,
7416,Home,0.6169444444444444,As The Crow Flies,TH (Thailand),TV Show,5,4,9,2022,Set Top Boxes,,,,,,
7417,Home,0.705,As The Crow Flies,TH (Thailand),TV Show,4,4,9,2022,Set Top Boxes,,,,,,
7418,Home,0.6075,As The Crow Flies,TH (Thailand),TV Show,4,4,9,2022,Set Top Boxes,,,,,,
7419,Home,0.6116666666666667,As The Crow Flies,TH (Thailand),TV Show,13,3,9,2022,Set Top Boxes,,,,,,
7420,Home,0.6227777777777778,As The Crow Flies,TH (Thailand),TV Show,13,3,9,2022,Set Top Boxes,,,,,,
7421,Home,0.5822222222222222,As The Crow Flies,TH (Thailand),TV Show,11,3,9,2022,Set Top Boxes,,,,,,
7422,Home,0.5933333333333334,As The Crow Flies,TH (Thailand),TV Show,8,3,9,2022,Set Top Boxes,,,,,,
7423,Home,0.4469444444444444,Katteri,TH (Thailand),Movie,3,3,9,2022,Set Top Boxes,,,,,,
7424,Home,0.1113888888888888,Katteri,TH (Thailand),Movie,2,3,9,2022,Set Top Boxes,,,,,,
10664,Home,0.1125,Pieces Of Her,TH (Thailand),TV Show,12,1,8,2022,Set Top Boxes,,,,,,
10665,Home,0.2394444444444444,Emily In Paris,TH (Thailand),TV Show,12,1,8,2022,Set Top Boxes,,,,,,
